FPR,TPR,Threshold
0.010308988270052583,0.8414634146341463,0.8463611859838275
0.010375815556688884,0.8414634146341463,0.8444130127298444
0.01048133232506199,0.8414634146341463,0.8429095354523227
0.010565745739760476,0.8414634146341463,0.8407172995780591
0.01066422805690871,0.8414634146341463,0.8376353039134055
0.010702917538645516,0.8414634146341463,0.8312101910828026
0.010731055343545012,0.8414634146341463,0.8305439330543933
0.010829537660693245,0.8414634146341463,0.8277896995708155
0.0108822960448798,0.8434959349593496,0.8257211538461539
0.010917468301004167,0.8434959349593496,0.8251633986928104
0.010942088880291226,0.8434959349593496,0.8209876543209876
0.01162091342349155,0.8455284552845529,0.8206185567010309
0.011969118759122804,0.8455284552845529,0.819564758081555
0.012050014948208853,0.8455284552845529,0.8191161356628982
0.012123876686070028,0.8455284552845529,0.8106734434561627
0.012187186747093893,0.8455284552845529,0.8085470085470086
0.012282151838629688,0.8455284552845529,0.8035284683239775
0.012345461899653553,0.8495934959349594,0.8010680907877169
0.012447461442414223,0.8495934959349594,0.7992857142857143
0.012560012662012204,0.8516260162601627,0.7959866220735786
0.01263387439987338,0.8516260162601627,0.7942528735632184
0.01297504528427976,0.8516260162601627,0.78948772678762
0.013446353516346305,0.8516260162601627,0.7858719646799117
0.013780489949527812,0.8516260162601627,0.7851263128015895
0.01385083446177655,0.8536585365853658,0.7849056603773585
0.014005592388723774,0.8536585365853658,0.7833763996554695
0.014079454126584949,0.8536585365853658,0.7812128418549346
0.014424142236603767,0.8536585365853658,0.7793614595210946
0.014459314492728135,0.8536585365853658,0.7777777777777778
0.014582417389163427,0.8536585365853658,0.7765614938828075
0.014821588730809137,0.8556910569105691,0.775139146567718
0.014870829889383255,0.8556910569105691,0.7728531855955678
0.015226069676239382,0.8556910569105691,0.77236747421444
0.015602412816770132,0.8556910569105691,0.7684290798169802
0.015887308091377523,0.8577235772357723,0.7681388012618297
0.016066686597611804,0.8577235772357723,0.7641213389121339
0.0164570986405923,0.8577235772357723,0.7628220004641448
0.016917855195821535,0.8577235772357723,0.7621208995254797
0.017135923183792624,0.8577235772357723,0.7610410094637224
0.01717461266552943,0.8577235772357723,0.758893280632411
0.017206267696041364,0.8577235772357723,0.7588235294117647
0.01735750839737615,0.8577235772357723,0.756004366812227
0.01745599071452438,0.8577235772357723,0.7542056074766356
0.01801522958690185,0.8577235772357723,0.75314046440807
0.01816647028823664,0.8577235772357723,0.7501601537475977
0.01902819056328368,0.8577235772357723,0.744150364403529
0.01956280885637409,0.8577235772357723,0.7411035585765694
0.019696463429646694,0.8577235772357723,0.7391653290529695
0.01991804864323022,0.8577235772357723,0.7381818181818182
0.01994266922251728,0.8577235772357723,0.7379807692307693
0.020062254893340133,0.8577235772357723,0.7318563789152025
